Date;sxxe;sxxt;sxxgt
2012-01-25 00:00:00;78.0842609923;92.6838514026;97.4578177728
2012-01-26 00:00:00;79.4043279808;94.2522744503;99.1113610799
2012-01-27 00:00:00;78.6687682659;93.3756633813;98.188976378
2012-01-30 00:00:00;77.5522936985;92.0536391205;96.7941507312
2012-01-31 00:00:00;78.0908284898;92.693328279;97.4690663667
2012-02-01 00:00:00;79.8771877976;94.8161485974;99.7075365579
2012-02-02 00:00:00;80.1694414343;95.1644238059;100.067491564
2012-02-03 00:00:00;81.3417397301;96.5575246399;101.529808774
2012-02-06 00:00:00;81.0888910781;96.2542645944;101.214848144
2012-02-07 00:00:00;81.1282960628;96.3063874147;101.271091114
2012-02-08 00:00:00;81.1775522937;96.3656178923;101.338582677
2012-02-09 00:00:00;81.4501034381;96.6902009098;101.676040495
2012-02-10 00:00:00;80.2745213936;95.2923616376;100.202474691
2012-02-13 00:00:00;80.6390175024;95.7259287339;100.663667042
2012-02-14 00:00:00;80.4682625685;95.5221758908;100.449943757
2012-02-15 00:00:00;80.8064886875;95.9391584534;100.88863892
2012-02-16 00:00:00;80.6357337537;95.7354056103;100.674915636
2012-02-17 00:00:00;81.6865333465;96.986353298;101.991001125
2012-02-20 00:00:00;82.7504679342;98.2538855193;103.318335208
2012-02-21 00:00:00;82.3465668407;97.7729340409;102.812148481
2012-02-22 00:00:00;81.6504121105;96.9460765732;101.946006749
2012-02-23 00:00:00;81.2530785144;96.4769711903;101.451068616
2012-02-24 00:00:00;81.7686270647;97.0858605004;102.09223847
2012-02-27 00:00:00;81.3680097199;96.6120166793;101.597300337
2012-02-28 00:00:00;81.607723377;96.8963229719;101.901012373
2012-02-29 00:00:00;81.4665221817;96.7281084155;101.721034871
2012-03-01 00:00:00;82.5107542771;97.9672100076;103.025871766
2012-03-02 00:00:00;82.560010508;98.0288097043;103.082114736
2012-03-05 00:00:00;81.9952057269;97.3559514784;102.373453318
2012-03-06 00:00:00;79.2467080419;94.1006444276;98.9651293588
2012-03-07 00:00:00;79.883755295;94.8682714177;99.7637795276
2012-03-08 00:00:00;81.6701146028;96.9887225171;102.002249719
2012-03-09 00:00:00;81.8375857879;97.1972137983;102.227221597
2012-03-12 00:00:00;81.8047483007;97.1569370735;102.182227222
2012-03-13 00:00:00;83.17407152;98.786959818;103.892013498
2012-03-14 00:00:00;83.6173775983;99.3152956785;104.454443195
2012-03-15 00:00:00;84.1657636358;99.9692001516;105.140607424
2012-03-16 00:00:00;84.5466784882;100.419351782;105.613048369
2012-03-19 00:00:00;84.5466784882;100.459628506;105.669291339
2012-03-20 00:00:00;83.5648376186;99.2916034875;104.443194601
2012-03-21 00:00:00;83.3251239615;99.0096664139;104.150731159
2012-03-22 00:00:00;82.1823794043;97.6521038666;102.72215973
2012-03-23 00:00:00;82.2414868814;97.7231804397;102.800899888
2012-03-26 00:00:00;82.9245066168;98.538191812;103.655793026
2012-03-27 00:00:00;82.4910517847;98.0264404852;103.115860517
2012-03-28 00:00:00;81.607723377;96.9792456406;102.013498313
2012-03-29 00:00:00;80.2745213936;95.3966072782;100.348706412
2012-03-30 00:00:00;81.1775522937;96.4746019712;101.484814398
2012-04-02 00:00:00;81.9722194858;97.436504928;102.508436445
2012-04-03 00:00:00;80.8163399337;96.0623578469;101.057367829
2012-04-04 00:00:00;78.6162282862;93.4491091736;98.3127109111
2012-04-05 00:00:00;78.5604045578;93.4467399545;98.335208099
2012-04-10 00:00:00;76.304469182;90.7647839272;95.5118110236
2012-04-11 00:00:00;77.003907661;91.6011182714;96.3892013498
2012-04-12 00:00:00;77.6705086527;92.4090219864;97.2553430821
2012-04-13 00:00:00;75.8414606114;90.3146322972;95.0731158605
2012-04-16 00:00:00;76.0680392736;90.6344768764;95.4218222722
2012-04-17 00:00:00;78.0415722589;92.9942191054;97.9077615298
2012-04-18 00:00:00;76.823301481;91.5418877938;96.3779527559
2012-04-19 00:00:00;75.7298131547;90.2554018196;95.0281214848
2012-04-20 00:00:00;76.2716316947;90.9780136467;95.8155230596
2012-04-23 00:00:00;74.0255475651;88.3221190296;93.025871766
2012-04-24 00:00:00;75.279939579;89.8289423806;94.6119235096
2012-04-25 00:00:00;76.7018027781;91.5726876422;96.4679415073
2012-04-26 00:00:00;76.6952352806;91.5892721759;96.4904386952
2012-04-27 00:00:00;77.4931862214;92.6388362396;97.6377952756
2012-04-30 00:00:00;76.5179128493;91.6034874905;96.5916760405
2012-05-01 00:00:00;76.5310478442;91.6200720243;96.6141732283
2012-05-02 00:00:00;76.0943092635;91.1391205459;96.1192350956
2012-05-03 00:00:00;75.9957968016;91.0230288097;95.9955005624
2012-05-04 00:00:00;74.6527435721;89.5801743745;94.544431946
2012-05-07 00:00:00;75.5918957081;90.7434609553;95.7817772778
2012-05-08 00:00:00;74.1339112731;89.028146323;93.9820022497
2012-05-09 00:00:00;73.8777788724;88.7438400303;93.6895388076
2012-05-10 00:00:00;74.485272387;89.6725739196;94.7469066367
2012-05-11 00:00:00;74.701999803;90.0137414708;95.1406074241
2012-05-14 00:00:00;72.9583292286;87.9217210008;92.9358830146
2012-05-15 00:00:00;72.2457557548;87.0711713419;92.0359955006
2012-05-16 00:00:00;72.0487308311;86.848464746;91.811023622
2012-05-17 00:00:00;71.1522674285;85.8060083397;90.7199100112
2012-05-18 00:00:00;70.820608807;85.5288097043;90.461192351
2012-05-21 00:00:00;71.1916724132;86.1116376042;91.1248593926
2012-05-22 00:00:00;72.6004006173;87.8340598939;92.9583802025
2012-05-23 00:00:00;70.6662726168;85.5051175133;90.4949381327
2012-05-24 00:00:00;71.2639148852;86.2656368461;91.3160854893
2012-05-25 00:00:00;71.3919810856;86.4930818802;91.5860517435
2012-05-28 00:00:00;71.145699931;86.2040371494;91.2823397075
2012-05-29 00:00:00;71.7236397071;86.9124336619;92.0359955006
2012-05-30 00:00:00;70.3346139953;85.2705648218;90.3149606299
2012-05-31 00:00:00;70.2295340361;85.1473654284;90.1912260967
2012-06-01 00:00:00;68.5613896825;83.161959818;88.0989876265
2012-06-04 00:00:00;68.5384034414;83.1477445034;88.0877390326
2012-06-05 00:00:00;68.8766295603;83.5694655042;88.5376827897
